layer,stage,resolution,dice,delta_dice,iou,delta_iou,accuracy,sensitivity,specificity,avr_before,avr_after,delta_avr,reduction_pct
vmunet.layers.2.blocks.8,Encoder,64x64,0.9503342912994547,-0.002180266562978206,0.9053685220182528,-0.003965889273105705,0.9695904541015625,0.9495410879427891,0.9784472422721803,0.05077013894915581,3.420073888502106e-15,-0.05077013894915239,99.9999999980236
vmunet.layers_up.2.blocks.1,Decoder,16x16,0.9503651150989347,-0.002149442763498155,0.9054244754722617,-0.003909935819096821,0.969075927734375,0.9662382159451397,0.9703294841813714,0.14796465784311294,5.697356166150538e-15,-0.14796465784310725,99.99999999932031
vmunet.layers.2.blocks.7,Encoder,64x64,0.9505539586636926,-0.001960599198740254,0.9057673488894283,-0.0035670624019301655,0.9696725463867187,0.9514046244789618,0.9777423832769784,0.06048570796847343,3.5657989614070406e-15,-0.060485707968469866,99.99999999834083
vmunet.layers_up.1.blocks.0,Decoder,32x32,0.9537507373829499,0.0012361795205170223,0.9115903556264138,0.002255944335055271,0.9719586181640625,0.9436556590853631,0.9844614230495932,0.11961633265018463,3.110720854319069e-15,-0.11961633265018153,99.99999999916139
vmunet.layers_up.1.blocks.1,Decoder,32x32,0.9536236696291489,0.00110911176671602,0.9113582197441055,0.002023808452746967,0.9717831420898437,0.9468329340989338,0.9828048724148021,0.08773142471909523,3.087617437759645e-15,-0.08773142471909215,99.99999999885664
vmunet.layers_up.1.blocks.2,Decoder,32x32,0.9534005201365583,0.000885962274125407,0.9109506917211121,0.0016162804297535915,0.9715325927734375,0.9504434738870823,0.9808486907090169,0.07655556350946427,3.2287204212780024e-15,-0.07655556350946104,99.99999999868953
vmunet.layers_up.1.blocks.3,Decoder,32x32,0.9532377935715417,0.000723235709108816,0.9106536209632359,0.001319209671877375,0.97135498046875,0.9528827047674066,0.9795150904503046,0.07011577785015106,3.147221621598625e-15,-0.07011577785014791,99.9999999985693
vmunet.layers.3.blocks.0,Encoder,64x64,0.9531661898036108,0.0006516319411778992,0.9105229316435565,0.0011885203521979637,0.9712918090820313,0.953452423045702,0.9791723406642482,0.03543614037334919,2.0586611787258776e-15,-0.03543614037334713,99.99999999717221
vmunet.layers.3.blocks.1,Encoder,64x64,0.953157668573887,0.0006431107114540646,0.9105073801089036,0.0011729688175451392,0.9712905883789062,0.9533109894871041,0.9792330588548461,0.032707815431058405,2.2350708565901346e-15,-0.03270781543105617,99.9999999969358
vmunet.layers_up.1.blocks.4,Decoder,32x32,0.9531525005940689,0.0006379427316359765,0.9104979484929442,0.0011635372015856849,0.9713015747070313,0.9528358922515326,0.9794587721285906,0.06695312187075615,3.2066415545957534e-15,-0.06695312187075295,99.99999999850162
vmunet.layers_up.1.blocks.6,Decoder,32x32,0.9531487874434462,0.0006342295810133347,0.9104911720126173,0.0011567607212588094,0.9713272094726563,0.9519056179999104,0.9799066787809724,0.06355528011918068,3.1988038740315146e-15,-0.06355528011917749,99.99999999842154
vmunet.layers_up.1.blocks.7,Decoder,32x32,0.9531109422098273,0.0005963843473943964,0.9104221074023859,0.0010876961110274364,0.9713079833984375,0.9517372921449594,0.9799533173911418,0.0626729317009449,3.186169699996859e-15,-0.06267293170094171,99.99999999839932
vmunet.layers_up.2.blocks.0,Decoder,16x16,0.9519536559687217,-0.0005609018937111632,0.9083125583044935,-0.0010218529868649684,0.970335693359375,0.9591217175213271,0.9752894563742001,0.18455080837011337,5.7387416030303196e-15,-0.18455080837010762,99.99999999945503
vmunet.layers_up.1.blocks.5,Decoder,32x32,0.9530740153542623,0.000559457491829396,0.9103547235736694,0.00102031228231092,0.9712490844726562,0.9529036209979034,0.9793531752753768,0.06547365263104439,3.14580908827996e-15,-0.06547365263104124,99.99999999846784
vmunet.layers_up.0.blocks.0,Decoder,64x64,0.9530089501066438,0.0004943922442108839,0.910236004599767,0.0009015933084084438,0.97122314453125,0.9523777272025538,0.9795480894669338,0.031358606088906525,2.235815949122187e-15,-0.03135860608890429,99.99999999680395
vmunet.layers_up.0.blocks.1,Decoder,64x64,0.9529919236874435,0.00047736582501056724,0.9102049403895457,0.0008705290981871894,0.9712155151367188,0.9522681659951893,0.9795854883524471,0.0313237426802516,2.2471022502157887e-15,-0.03132374268024935,99.99999999680036
vmunet.layers_up.1.blocks.8,Decoder,32x32,0.9529728004468426,0.0004582425844097404,0.9101700517938268,0.0008356405024683156,0.9712225341796875,0.9516297229595471,0.9798776396463386,0.0634900365024805,3.2392620215922902e-15,-0.06349003650247727,99.99999999841985
